Date,Weighted,Volume
2010-11-18 02:11:00,0.27381,10253.27
2010-11-19 02:11:00,0.270421,583.45
2010-11-20 02:11:00,0.281114,4119.07
2010-11-21 02:11:00,0.278,212.67
2010-11-22 02:11:00,0.277199,7818.64
2010-11-23 02:11:00,0.280388,1361.82
2010-11-24 02:11:00,0.282412,710.24
2010-11-25 02:11:00,0.279823,469.99
2010-11-26 02:11:00,0.28364,9510.98
2010-11-27 02:11:00,0.282625,515.9
2010-11-28 02:11:00,0.276236,5746.3
2010-11-29 02:11:00,0.25109,8802.06
2010-11-30 02:11:00,0.21282,4570.58
2010-12-01 02:12:00,0.21485,1752.72
2010-12-02 02:12:00,0.236338,4800.55
2010-12-03 02:12:00,0.246574,633.78
2010-12-04 02:12:00,0.233657,6673.4
2010-12-05 02:12:00,0.205225,1178.03
2010-12-06 02:12:00,0.199807,863.02
2010-12-07 02:12:00,0.220055,5411.8
2010-12-08 02:12:00,0.230252,789.86
2010-12-09 02:12:00,0.206781,4411.94
2010-12-10 02:12:00,0.194846,328.17
2010-12-11 02:12:00,0.21891,1267.2
2010-12-12 02:12:00,0.213286,418.8
2010-12-13 02:12:00,0.222259,1425.92
2010-12-14 02:12:00,0.231402,2403.83
2010-12-15 02:12:00,0.244567,901.15
2010-12-16 02:12:00,0.245388,3522.62
2010-12-17 02:12:00,0.24774,130.19
2010-12-18 02:12:00,0.246408,41.67
2010-12-19 02:12:00,0.243652,487.49
2010-12-20 02:12:00,0.259286,2769.88
2010-12-21 02:12:00,0.248413,2291.81
2010-12-22 02:12:00,0.249807,949.38
2010-12-23 02:12:00,0.249792,2160.74
2010-12-24 02:12:00,0.248756,1252.05
2010-12-25 02:12:00,0.249559,175.44
2010-12-26 02:12:00,0.253424,4203.03
2010-12-27 02:12:00,0.25735,1270.15
2010-12-28 02:12:00,0.274568,4238.98
2010-12-29 02:12:00,0.288232,5363.75
2010-12-30 02:12:00,0.299196,759.92
2010-12-31 02:12:00,0.29472,428.44
2011-01-01 02:01:00,0.298433,841.95
2011-01-02 02:01:00,0.296081,1584.66
2011-01-03 02:01:00,0.295294,420.85
2011-01-04 02:01:00,0.29182,548.33
2011-01-05 02:01:00,0.297318,106.19
2011-01-06 02:01:00,0.29836,1031.28
2011-01-07 02:01:00,0.308728,13152.15
2011-01-08 02:01:00,0.314243,512.04
2011-01-09 02:01:00,0.322922,546.18
2011-01-10 02:01:00,0.324518,3360.65
2011-01-11 02:01:00,0.324974,1578.66
2011-01-12 02:01:00,0.335084,10508.17
2011-01-13 02:01:00,0.35524,7147.03
2011-01-14 02:01:00,0.394056,10691.11
2011-01-15 02:01:00,0.390028,591.15
2011-01-16 02:01:00,0.390527,1085.16
2011-01-17 02:01:00,0.3487,6360.69
2011-01-18 02:01:00,0.315892,4950.51
2011-01-19 02:01:00,0.308247,2247.62
2011-01-20 02:01:00,0.34705,6900.05
2011-01-21 02:01:00,0.395352,3351.62
2011-01-22 02:01:00,0.428498,4513.91
2011-01-23 02:01:00,0.440465,505.83
2011-01-24 02:01:00,0.408308,4516.68
2011-01-25 02:01:00,0.416528,901.25
2011-01-26 02:01:00,0.405784,6315.95
2011-01-27 02:01:00,0.436221,12086.9
2011-01-28 02:01:00,0.432298,2301.77
2011-01-29 02:01:00,0.444379,643.63
2011-01-30 02:01:00,0.459938,4775.81
2011-01-31 02:01:00,0.514963,32708.4
2011-02-01 02:02:00,0.737092,23264.18
2011-02-02 02:02:00,0.733191,4126.02
2011-02-03 02:02:00,0.711375,6064.12
2011-02-04 02:02:00,0.804452,33965.74
2011-02-05 02:02:00,0.863645,13634.2
2011-02-06 02:02:00,0.870159,7608.77
2011-02-07 02:02:00,0.860998,1949.54
2011-02-08 02:02:00,0.898235,6306.77
2011-02-09 02:02:00,0.956128,47455.01
2011-02-10 02:02:00,0.962694,25568.81
2011-02-11 02:02:00,0.993561,13213.54
2011-02-12 02:02:00,1.057022,4353.79
2011-02-13 02:02:00,1.048651,3398.3
2011-02-14 02:02:00,1.061419,7532.41
2011-02-15 02:02:00,1.054421,9085.5
2011-02-16 02:02:00,1.037908,7465.03
2011-02-17 02:02:00,1.043673,4184.96
2011-02-18 02:02:00,0.885558,32719.75
2011-02-19 02:02:00,0.909446,3454.72
2011-02-20 02:02:00,0.85255,8503.38
2011-02-21 02:02:00,0.844564,1435.86
2011-02-22 02:02:00,0.880534,10650.29
2011-02-23 02:02:00,0.901605,6057.77
2011-02-24 02:02:00,0.947046,12708.12
2011-02-25 02:02:00,0.958584,4276.3
2011-02-26 02:02:00,0.9385,4452.63
2011-02-27 02:02:00,0.927287,21576.82
2011-02-28 02:02:00,0.883253,4108.6
2011-03-01 02:03:00,0.948766,21413.43
2011-03-02 02:03:00,0.924172,2533.96
2011-03-03 02:03:00,0.917686,2520.58
2011-03-04 02:03:00,0.910642,2469.56
2011-03-05 02:03:00,0.88421,11115.04
2011-03-06 02:03:00,0.853373,10775.11
2011-03-07 02:03:00,0.885801,13527.3
2011-03-08 02:03:00,0.868275,3931.42
2011-03-09 02:03:00,0.853757,3881.22
2011-03-10 02:03:00,0.890186,7895.07
2011-03-11 02:03:00,0.886249,3301.73
2011-03-12 02:03:00,0.895657,4319.6
2011-03-13 02:03:00,0.901728,595.42
2011-03-14 02:03:00,0.887532,4676.62
2011-03-15 02:03:00,0.880406,2405.41
2011-03-16 02:03:00,0.852666,6761.32
2011-03-17 02:03:00,0.843988,6042.77
2011-03-18 02:03:00,0.771204,10971.32
2011-03-19 02:03:00,0.75522,7457.83
2011-03-20 02:03:00,0.774269,4502.62
2011-03-21 02:03:00,0.752294,2780.45
2011-03-22 02:03:00,0.781977,9499.24
2011-03-23 02:03:00,0.831627,11029.25
2011-03-24 02:03:00,0.875112,12259.77
2011-03-25 02:03:00,0.876771,4225.53
2011-03-26 02:03:00,0.871947,10250.98
2011-03-27 02:03:00,0.83173,4439.07
2011-03-28 03:03:00,0.807129,10141.7
2011-03-29 03:03:00,0.785833,3312.3
2011-03-30 03:03:00,0.786811,2532.13
2011-03-31 03:03:00,0.789687,5429.16
2011-04-01 03:04:00,0.779375,2483.69
2011-04-02 03:04:00,0.788113,1965.23
2011-04-03 03:04:00,0.782105,3074.76
2011-04-04 03:04:00,0.694989,21652.69
2011-04-05 03:04:00,0.67035,6522.71
2011-04-06 03:04:00,0.719678,6264.04
2011-04-07 03:04:00,0.754929,8178.14
2011-04-08 03:04:00,0.76094,13854.66
2011-04-09 03:04:00,0.737739,8940.96
2011-04-10 03:04:00,0.737793,3946.44
2011-04-11 03:04:00,0.768538,11255.96
2011-04-12 03:04:00,0.853679,41333.11
2011-04-13 03:04:00,0.932489,40467.74
2011-04-14 03:04:00,0.952807,29643.61
2011-04-15 03:04:00,1.003664,50488.94
2011-04-16 03:04:00,1.042532,30097.18
2011-04-17 03:04:00,1.076759,26085.25
2011-04-18 03:04:00,1.148255,31552.55
2011-04-19 03:04:00,1.177222,14782.06
2011-04-20 03:04:00,1.156801,24691.86
2011-04-21 03:04:00,1.1794,46345.35
2011-04-22 03:04:00,1.292133,50929.92
2011-04-23 03:04:00,1.549719,103242.84
2011-04-24 03:04:00,1.674707,36076.01
2011-04-25 03:04:00,1.575677,21226.89
2011-04-26 03:04:00,1.671683,40211.17
2011-04-27 03:04:00,1.887849,62403.35
2011-04-28 03:04:00,2.029091,203392.46
2011-04-29 03:04:00,2.587034,148954.47
2011-04-30 03:04:00,3.285717,214977.24
2011-05-01 03:05:00,3.13558,143521.98
2011-05-02 03:05:00,3.241097,59421.72
2011-05-03 03:05:00,3.320934,56187.48
2011-05-04 03:05:00,3.439814,59434.11
2011-05-05 03:05:00,3.409136,52331.39
2011-05-06 03:05:00,3.478819,80063.98
2011-05-07 03:05:00,3.608963,64359.68
2011-05-08 03:05:00,3.767693,79620.81
2011-05-09 03:05:00,3.80229,43805.92
2011-05-10 03:05:00,4.73994,266466.71
2011-05-11 03:05:00,5.354792,281496.86
2011-05-12 03:05:00,5.826786,184839.99
2011-05-13 03:05:00,7.481489,478840.49
2011-05-14 03:05:00,7.863648,435571.02
2011-05-15 03:05:00,6.737162,123255.5
2011-05-16 03:05:00,7.771625,343050.47
2011-05-17 03:05:00,7.522011,265868.95
2011-05-18 03:05:00,7.138055,181331.16
2011-05-19 03:05:00,6.962348,170134.8
2011-05-20 03:05:00,6.275069,278992.34
2011-05-21 03:05:00,5.966854,185640.17
2011-05-22 03:05:00,6.46915,154432.52
2011-05-23 03:05:00,7.103236,250601.3
2011-05-24 03:05:00,7.233926,211827.28
2011-05-25 03:05:00,7.976669,510905.18
2011-05-26 03:05:00,8.546712,244820.48
2011-05-27 03:05:00,8.671732,125149.05
2011-05-28 03:05:00,8.447588,103463.69
2011-05-29 03:05:00,8.29897,62138.87
2011-05-30 03:05:00,8.724974,154258.85
2011-05-31 03:05:00,8.884975,406882.27
2011-06-01 03:06:00,9.21262,400564.35
2011-06-02 03:06:00,10.113041,415112.72
2011-06-03 03:06:00,13.079068,954513.54
2011-06-04 03:06:00,16.406189,729670.85
2011-06-05 03:06:00,17.324148,420612.47
2011-06-06 03:06:00,18.458555,1016927.39
2011-06-07 03:06:00,19.899516,1068903.32
2011-06-08 03:06:00,27.246281,2858820.38
2011-06-09 03:06:00,29.58019,1861589.64
2011-06-10 03:06:00,24.67011,2274786.4
2011-06-11 03:06:00,17.613756,2146587.96
2011-06-12 03:06:00,16.211834,2451134.56
2011-06-13 03:06:00,20.106287,1476239.59
2011-06-14 03:06:00,19.250032,696003.98
2011-06-15 03:06:00,19.678771,545336.14
2011-06-16 03:06:00,18.855753,927743.42
2011-06-17 03:06:00,15.506304,1684353.23
2011-06-18 03:06:00,16.038398,569949.34
2011-06-19 03:06:00,17.770885,536267.38
2011-06-26 03:06:00,15.585419,234621.8
2011-06-27 03:06:00,17.012819,535096.37
2011-06-28 03:06:00,16.928834,413032.22
2011-06-29 03:06:00,16.884329,355303.18
2011-06-30 03:06:00,16.508178,577145.55
2011-07-01 03:07:00,15.899241,529197.49
2011-07-02 03:07:00,15.531331,302134.7
2011-07-03 03:07:00,15.475883,259875.51
2011-07-04 03:07:00,14.478905,756913.59
2011-07-05 03:07:00,12.800794,1076305.46
2011-07-06 03:07:00,14.803653,1655319.63
2011-07-07 03:07:00,15.155451,825452.25
2011-07-08 03:07:00,14.349908,500143.38
2011-07-09 03:07:00,14.386332,171329.27
2011-07-10 03:07:00,15.080312,682903.16
2011-07-11 03:07:00,14.370573,706457.52
2011-07-12 03:07:00,14.151591,372986.55
2011-07-13 03:07:00,14.028822,145032.07
2011-07-14 03:07:00,13.927857,245982.11
2011-07-15 03:07:00,13.899617,344982.1
2011-07-16 03:07:00,13.620036,235142.97
2011-07-17 03:07:00,13.338296,458510.19
2011-07-18 03:07:00,13.029662,988903.24
2011-07-19 03:07:00,14.035918,948485.72
2011-07-20 03:07:00,13.691158,317332.3
2011-07-21 03:07:00,13.656586,341665.52
2011-07-22 03:07:00,13.652205,207044.15
2011-07-23 03:07:00,13.64382,306380.16
2011-07-24 03:07:00,13.861632,369041.82
