Date,Open,High,Low,Close
"Mar 13, 2020",32.77,36.11,32.51,34.72
"Mar 12, 2020",35.99,36.46,32.50,33.22
"Mar 11, 2020",37.27,39.70,35.35,35.79
"Mar 10, 2020",35.84,38.22,35.00,37.22
"Mar 09, 2020",38.28,38.34,31.02,34.36
"Mar 06, 2020",50.25,50.45,45.18,45.27
"Mar 05, 2020",51.66,52.04,49.70,49.99
"Mar 04, 2020",52.11,53.03,51.04,51.13
"Mar 03, 2020",53.47,53.90,51.22,51.86
"Mar 02, 2020",48.95,53.20,48.40,51.90
